FileName,FileExt,DateModified,Size_KB,Size_GB,Source,Path,SimplePath,ParentPath
desktop,.ini,2025-07-30 14:33:17.852927,0.28,0.0,Downloads,C:\Users\ASUS\Downloads\desktop.ini,Users\ASUS\Downloads\desktop.ini,C:\Users\ASUS\Downloads
GoogleDriveSetup,.exe,2025-07-30 09:09:52.649726,331614.59,0.3163,Downloads,C:\Users\ASUS\Downloads\GoogleDriveSetup.exe,Users\ASUS\Downloads\GoogleDriveSetup.exe,C:\Users\ASUS\Downloads
Cover Letter_Graduate 2025 Mott MacDonald,.pdf,2025-07-28 13:09:29.588192,74.41,0.0001,Downloads,C:\Users\ASUS\Downloads\Cover Letter_Graduate 2025 Mott MacDonald.pdf,Users\ASUS\Downloads\Cover Letter_Graduate 2025 Mott MacDonald.pdf,C:\Users\ASUS\Downloads
HCML Well Sample,.xlsx,2025-07-28 11:06:26.555022,275.54,0.0003,Downloads,C:\Users\ASUS\Downloads\HCML Well Sample.xlsx,Users\ASUS\Downloads\HCML Well Sample.xlsx,C:\Users\ASUS\Downloads
Document Location Number List_Final 01_Eko (Autosaved),.xlsx,2025-07-28 11:04:53.067396,1921.3,0.0018,Downloads,C:\Users\ASUS\Downloads\Document Location Number List_Final 01_Eko (Autosaved).xlsx,Users\ASUS\Downloads\Document Location Number List_Final 01_Eko (Autosaved).xlsx,C:\Users\ASUS\Downloads
document-engineer,.ipynb,2025-07-23 20:37:57.419860,76.48,0.0001,Downloads,C:\Users\ASUS\Downloads\Oprek-oprek\document-engineer.ipynb,Users\ASUS\Downloads\Oprek-oprek\document-engineer.ipynb,C:\Users\ASUS\Downloads\Oprek-oprek
notulen-30Jun25,.csv,2025-07-23 20:34:30.272966,81.59,0.0001,Downloads,C:\Users\ASUS\Downloads\Oprek-oprek\notulen-30Jun25.csv,Users\ASUS\Downloads\Oprek-oprek\notulen-30Jun25.csv,C:\Users\ASUS\Downloads\Oprek-oprek
3 5978-rkl-rpl 30Jun25,.docx,2025-07-22 23:28:24.116325,13345.89,0.0127,Downloads,C:\Users\ASUS\Downloads\Oprek-oprek\3 5978-rkl-rpl 30Jun25.docx,Users\ASUS\Downloads\Oprek-oprek\3 5978-rkl-rpl 30Jun25.docx,C:\Users\ASUS\Downloads\Oprek-oprek
2 5978-andal 30Jun25,.docx,2025-07-22 23:28:22.449875,69523.47,0.0663,Downloads,C:\Users\ASUS\Downloads\Oprek-oprek\2 5978-andal 30Jun25.docx,Users\ASUS\Downloads\Oprek-oprek\2 5978-andal 30Jun25.docx,C:\Users\ASUS\Downloads\Oprek-oprek
4 Notulen Sutet 29junii2025_,.docx,2025-07-22 23:28:13.099814,33682.62,0.0321,Downloads,C:\Users\ASUS\Downloads\Oprek-oprek\4 Notulen Sutet 29junii2025_.docx,Users\ASUS\Downloads\Oprek-oprek\4 Notulen Sutet 29junii2025_.docx,C:\Users\ASUS\Downloads\Oprek-oprek
portfolio,.indd,2025-07-20 15:27:29.871475,3980.0,0.0038,Downloads,C:\Users\ASUS\Downloads\project\portfolio.indd,Users\ASUS\Downloads\project\portfolio.indd,C:\Users\ASUS\Downloads\project
portfolio_july2025,.pdf,2025-07-20 15:20:05.394920,1377.98,0.0013,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\portfolio_july2025.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\portfolio_july2025.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
portfolio_july2025,.pdf,2025-07-20 15:20:05.394920,1377.98,0.0013,Downloads,C:\Users\ASUS\Downloads\Portfolio\portfolio_july2025.pdf,Users\ASUS\Downloads\Portfolio\portfolio_july2025.pdf,C:\Users\ASUS\Downloads\Portfolio
end presentation,.png,2025-07-20 15:11:46.505347,52.95,0.0001,Downloads,C:\Users\ASUS\Downloads\PNG\end presentation.png,Users\ASUS\Downloads\PNG\end presentation.png,C:\Users\ASUS\Downloads\PNG
Dokumentasi2,.jpg,2025-07-20 15:09:20.239714,5.48,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\Dokumentasi2.jpg,Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\Dokumentasi2.jpg,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML
Dokumentasi1,.jpg,2025-07-20 15:09:02.478413,6.85,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\Dokumentasi1.jpg,Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\Dokumentasi1.jpg,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML
Persebaran Data,.png,2025-07-20 15:08:51.993569,21.31,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\Persebaran Data.png,Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\Persebaran Data.png,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML
MDR3,.png,2025-07-20 15:08:30.209189,189.98,0.0002,Downloads,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\MDR3.png,Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\MDR3.png,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML
MDR2,.png,2025-07-20 15:08:22.608822,54.54,0.0001,Downloads,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\MDR2.png,Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\MDR2.png,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML
MDR1,.png,2025-07-20 15:08:16.579402,65.68,0.0001,Downloads,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\MDR1.png,Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\MDR1.png,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML
Matrix for Document,.png,2025-07-20 15:08:06.131853,114.27,0.0001,Downloads,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\Matrix for Document.png,Users\ASUS\Downloads\Portfolio\Datamanagement System HCML\Matrix for Document.png,C:\Users\ASUS\Downloads\Portfolio\Datamanagement System HCML
"Kanvas Kebutuhan – Solusi, A1, 3 pcs",.jpg,2025-07-20 14:50:01.688606,620.49,0.0006,Downloads,"C:\Users\ASUS\Downloads\Portfolio\DE Lab ITB\Kanvas Kebutuhan – Solusi, A1, 3 pcs.jpg","Users\ASUS\Downloads\Portfolio\DE Lab ITB\Kanvas Kebutuhan – Solusi, A1, 3 pcs.jpg",C:\Users\ASUS\Downloads\Portfolio\DE Lab ITB
Pemetaan Pulau Kai-Peta Geologi,.jpg,2025-07-20 14:41:43.691716,664.87,0.0006,Downloads,C:\Users\ASUS\Downloads\Portfolio\Pemetaan Maluku BIG\Pemetaan Pulau Kai-Peta Geologi.jpg,Users\ASUS\Downloads\Portfolio\Pemetaan Maluku BIG\Pemetaan Pulau Kai-Peta Geologi.jpg,C:\Users\ASUS\Downloads\Portfolio\Pemetaan Maluku BIG
02_CITRA_KEIKECIL,.jpg,2025-07-20 14:41:25.101214,211.87,0.0002,Downloads,C:\Users\ASUS\Downloads\Portfolio\Pemetaan Maluku BIG\02_CITRA_KEIKECIL.jpg,Users\ASUS\Downloads\Portfolio\Pemetaan Maluku BIG\02_CITRA_KEIKECIL.jpg,C:\Users\ASUS\Downloads\Portfolio\Pemetaan Maluku BIG
05_CITRA_KEIBESAR,.jpg,2025-07-20 14:41:11.768247,135.26,0.0001,Downloads,C:\Users\ASUS\Downloads\Portfolio\Pemetaan Maluku BIG\05_CITRA_KEIBESAR.jpg,Users\ASUS\Downloads\Portfolio\Pemetaan Maluku BIG\05_CITRA_KEIBESAR.jpg,C:\Users\ASUS\Downloads\Portfolio\Pemetaan Maluku BIG
Penampang Keleluasaan Lahan TA Fajri,.png,2025-07-20 14:32:40.435748,1431.75,0.0014,Downloads,C:\Users\ASUS\Downloads\Portfolio\magang PATGTL\Penampang Keleluasaan Lahan TA Fajri.png,Users\ASUS\Downloads\Portfolio\magang PATGTL\Penampang Keleluasaan Lahan TA Fajri.png,C:\Users\ASUS\Downloads\Portfolio\magang PATGTL
Zona Keleluasaan Lahan 2 TA Fajri,.png,2025-07-20 14:30:14.301154,2104.17,0.002,Downloads,C:\Users\ASUS\Downloads\Portfolio\magang PATGTL\Zona Keleluasaan Lahan 2 TA Fajri.png,Users\ASUS\Downloads\Portfolio\magang PATGTL\Zona Keleluasaan Lahan 2 TA Fajri.png,C:\Users\ASUS\Downloads\Portfolio\magang PATGTL
Zona Keleluasaan Lahan TA Fajri,.png,2025-07-20 14:29:32.069865,2334.49,0.0022,Downloads,C:\Users\ASUS\Downloads\Portfolio\magang PATGTL\Zona Keleluasaan Lahan TA Fajri.png,Users\ASUS\Downloads\Portfolio\magang PATGTL\Zona Keleluasaan Lahan TA Fajri.png,C:\Users\ASUS\Downloads\Portfolio\magang PATGTL
FOTO FAJRI,.png,2025-07-20 14:01:22.514425,150.66,0.0001,Downloads,C:\Users\ASUS\Downloads\PNG\FOTO FAJRI.png,Users\ASUS\Downloads\PNG\FOTO FAJRI.png,C:\Users\ASUS\Downloads\PNG
icon_email,.png,2025-07-20 13:51:34.644997,9.75,0.0,Downloads,C:\Users\ASUS\Downloads\PNG\icon_email.png,Users\ASUS\Downloads\PNG\icon_email.png,C:\Users\ASUS\Downloads\PNG
icon email bulat,.png,2025-07-20 13:50:23.183117,13.98,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\Asset\icon email bulat.png,Users\ASUS\Downloads\Portfolio\Asset\icon email bulat.png,C:\Users\ASUS\Downloads\Portfolio\Asset
icon_git,.png,2025-07-20 13:49:33.331956,5.12,0.0,Downloads,C:\Users\ASUS\Downloads\PNG\icon_git.png,Users\ASUS\Downloads\PNG\icon_git.png,C:\Users\ASUS\Downloads\PNG
icon_medium,.png,2025-07-20 13:48:31.358961,8.06,0.0,Downloads,C:\Users\ASUS\Downloads\PNG\icon_medium.png,Users\ASUS\Downloads\PNG\icon_medium.png,C:\Users\ASUS\Downloads\PNG
icon medium,.png,2025-07-20 13:47:04.516807,10.21,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\Asset\icon medium.png,Users\ASUS\Downloads\Portfolio\Asset\icon medium.png,C:\Users\ASUS\Downloads\Portfolio\Asset
icon github,.png,2025-07-20 13:46:34.562817,4.66,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\Asset\icon github.png,Users\ASUS\Downloads\Portfolio\Asset\icon github.png,C:\Users\ASUS\Downloads\Portfolio\Asset
icon email,.png,2025-07-20 13:45:51.952419,10.32,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\Asset\icon email.png,Users\ASUS\Downloads\Portfolio\Asset\icon email.png,C:\Users\ASUS\Downloads\Portfolio\Asset
portfolio-cover,.jpg,2025-07-20 13:23:21.483744,231.42,0.0002,Downloads,C:\Users\ASUS\Downloads\Portfolio\portfolio-cover.jpg,Users\ASUS\Downloads\Portfolio\portfolio-cover.jpg,C:\Users\ASUS\Downloads\Portfolio
Asset Background,.png,2025-07-20 13:20:40.600758,43.98,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\PNG\Asset Background.png,Users\ASUS\Downloads\Portfolio\PNG\Asset Background.png,C:\Users\ASUS\Downloads\Portfolio\PNG
Asset 11,.png,2025-07-20 10:52:00.554942,19.42,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\PNG\Asset 11.png,Users\ASUS\Downloads\Portfolio\PNG\Asset 11.png,C:\Users\ASUS\Downloads\Portfolio\PNG
Asset 8,.png,2025-07-20 10:51:53.536210,14.2,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\PNG\Asset 8.png,Users\ASUS\Downloads\Portfolio\PNG\Asset 8.png,C:\Users\ASUS\Downloads\Portfolio\PNG
Asset 7,.png,2025-07-20 10:51:52.982711,30.02,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\PNG\Asset 7.png,Users\ASUS\Downloads\Portfolio\PNG\Asset 7.png,C:\Users\ASUS\Downloads\Portfolio\PNG
Asset 6,.png,2025-07-20 10:31:56.227840,11.4,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\PNG\Asset 6.png,Users\ASUS\Downloads\Portfolio\PNG\Asset 6.png,C:\Users\ASUS\Downloads\Portfolio\PNG
Asset 5,.png,2025-07-20 10:17:00.159209,44.25,0.0,Downloads,C:\Users\ASUS\Downloads\Portfolio\PNG\Asset 5.png,Users\ASUS\Downloads\Portfolio\PNG\Asset 5.png,C:\Users\ASUS\Downloads\Portfolio\PNG
PORTFOLIO_FAJRI,.pdf,2025-07-20 09:38:09.404430,1310.15,0.0012,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\PORTFOLIO_FAJRI.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\PORTFOLIO_FAJRI.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Presentasi Final Project Data Analyst-Fajri Ilham Mughni (1),.pptx,2025-07-19 08:59:40.068245,1250.32,0.0012,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Presentasi Final Project Data Analyst-Fajri Ilham Mughni (1).pptx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Presentasi Final Project Data Analyst-Fajri Ilham Mughni (1).pptx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
portfolio terbaru fajri,.ai,2025-07-19 08:43:01.550336,34812.15,0.0332,Downloads,C:\Users\ASUS\Downloads\project\portfolio terbaru fajri.ai,Users\ASUS\Downloads\project\portfolio terbaru fajri.ai,C:\Users\ASUS\Downloads\project
Cover Letter_Fajri Ilham Mughni_Delloite,.pdf,2025-07-18 16:03:21.251908,57.21,0.0001,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Cover Letter_Fajri Ilham Mughni_Delloite.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Cover Letter_Fajri Ilham Mughni_Delloite.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Cover Letter_Fajri Ilham Mughni,.pdf,2025-07-16 22:11:12.159803,88.13,0.0001,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Cover Letter_Fajri Ilham Mughni.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Cover Letter_Fajri Ilham Mughni.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
COVER LETTER_FAJRI ILHAM MUGHNI-JUNIOR POSITION,.pdf,2025-07-16 22:04:57.110187,50.67,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\COVER LETTER_FAJRI ILHAM MUGHNI-JUNIOR POSITION.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\COVER LETTER_FAJRI ILHAM MUGHNI-JUNIOR POSITION.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
RESUME PORTFOLIO_FAJRI,.pdf,2025-07-16 21:54:41.707799,1331.86,0.0013,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\RESUME PORTFOLIO_FAJRI.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\RESUME PORTFOLIO_FAJRI.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Jurnal Kesendirian-Fajri,.docx,2025-07-13 10:56:52.610849,14.38,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Jurnal Kesendirian-Fajri.docx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Jurnal Kesendirian-Fajri.docx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Journal on Life,.xlsx,2025-07-13 10:56:35.696248,21.19,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Journal on Life.xlsx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Journal on Life.xlsx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
COVERLETTER+RESUME+PORTFOLIO_FAJRI_OPTIMIZED_RARE OECM GIS ANALYST,.pdf,2025-07-12 10:20:08.828295,1121.79,0.0011,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\COVERLETTER+RESUME+PORTFOLIO_FAJRI_OPTIMIZED_RARE OECM GIS ANALYST.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\COVERLETTER+RESUME+PORTFOLIO_FAJRI_OPTIMIZED_RARE OECM GIS ANALYST.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
COVERLETTER+RESUME+PORTFOLIO_FAJRI,.pdf,2025-07-12 10:18:11.019778,1373.3,0.0013,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\COVERLETTER+RESUME+PORTFOLIO_FAJRI.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\COVERLETTER+RESUME+PORTFOLIO_FAJRI.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
OECM RARE GIS ANALYST_COVER LETTER,.pdf,2025-07-12 10:15:00.940152,48.79,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\OECM RARE GIS ANALYST_COVER LETTER.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\OECM RARE GIS ANALYST_COVER LETTER.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
OECM RARE GIS ANALYST_COVER LETTER,.docx,2025-07-12 10:14:32.392685,14.42,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\OECM RARE GIS ANALYST_COVER LETTER.docx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\OECM RARE GIS ANALYST_COVER LETTER.docx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
RESUME+PORTFOLIO_FAJRI,.pdf,2025-07-08 16:44:39.630464,1331.86,0.0013,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\RESUME+PORTFOLIO_FAJRI.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\RESUME+PORTFOLIO_FAJRI.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Resume - Fajri Ilham Mughni,.pdf,2025-07-08 16:31:24.169812,162.54,0.0002,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Resume - Fajri Ilham Mughni.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Resume - Fajri Ilham Mughni.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Resume - Fajri (ATS-Applicant Tracking System) - Base Information,.docx,2025-07-08 16:31:07.975234,30.91,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Resume - Fajri (ATS-Applicant Tracking System) - Base Information.docx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Resume - Fajri (ATS-Applicant Tracking System) - Base Information.docx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Surat Lamaran_Fajri Ilham Mughni_OPSI,.pdf,2025-07-06 12:15:06.450011,52.25,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Surat Lamaran_Fajri Ilham Mughni_OPSI.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Surat Lamaran_Fajri Ilham Mughni_OPSI.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Surat Lamaran_Fajri Ilham Mughni_OPSI,.docx,2025-07-06 12:14:59.651874,15.41,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Surat Lamaran_Fajri Ilham Mughni_OPSI.docx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Surat Lamaran_Fajri Ilham Mughni_OPSI.docx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Resume - Fajri (ATS-Applicant Tracking System) - Geological Engineering,.docx,2025-07-06 11:58:54.775518,27.29,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Resume - Fajri (ATS-Applicant Tracking System) - Geological Engineering.docx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Resume - Fajri (ATS-Applicant Tracking System) - Geological Engineering.docx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Resume - Fajri (ATS-Applicant Tracking System) - Multidisciplinary,.docx,2025-07-06 11:58:10.290291,29.67,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Resume - Fajri (ATS-Applicant Tracking System) - Multidisciplinary.docx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Resume - Fajri (ATS-Applicant Tracking System) - Multidisciplinary.docx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Resume - Fajri - Geological Engineering,.pdf,2025-07-06 11:57:49.953027,167.09,0.0002,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Resume - Fajri - Geological Engineering.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Resume - Fajri - Geological Engineering.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Writing Sample_Fajri Ilham Mughni,.pdf,2025-06-29 18:46:21.666743,167.61,0.0002,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Writing Sample_Fajri Ilham Mughni.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Writing Sample_Fajri Ilham Mughni.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Climate Associate Application Merged_Fajri Ilham Mughni,.pdf,2025-06-29 18:45:19.970733,457.88,0.0004,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Climate Associate Application Merged_Fajri Ilham Mughni.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Climate Associate Application Merged_Fajri Ilham Mughni.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Cover Letter_Fajri Ilham Mughni for GGGI,.pdf,2025-06-29 18:44:43.013081,51.58,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Cover Letter_Fajri Ilham Mughni for GGGI.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Cover Letter_Fajri Ilham Mughni for GGGI.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Cover Letter_Fajri Ilham Mughni (Made Organically by Fajri),.docx,2025-06-29 18:44:23.345234,15.24,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Cover Letter_Fajri Ilham Mughni (Made Organically by Fajri).docx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Cover Letter_Fajri Ilham Mughni (Made Organically by Fajri).docx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
Cover Letter_Fajri Ilham Mughni (Updated)_Geological Engineering_NGS_Database,.docx,2025-06-22 13:34:07.804275,15.11,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Cover Letter_Fajri Ilham Mughni (Updated)_Geological Engineering_NGS_Database.docx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\Cover Letter_Fajri Ilham Mughni (Updated)_Geological Engineering_NGS_Database.docx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
FAJRI ILHAM MUGHNI_MOTIVATION LETTER,.pdf,2025-06-19 16:33:59.891034,1399.05,0.0013,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\FAJRI ILHAM MUGHNI_MOTIVATION LETTER.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\FAJRI ILHAM MUGHNI_MOTIVATION LETTER.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
FAJRI ILHAM MUGHNI_MOTIVATION LETTER,.docx,2025-06-19 16:32:04.972595,16.99,0.0,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\FAJRI ILHAM MUGHNI_MOTIVATION LETTER.docx,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\FAJRI ILHAM MUGHNI_MOTIVATION LETTER.docx,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
PERJANJIAN PINJAMAN FAJRI,.zip,2025-06-19 13:53:35.974862,6106.97,0.0058,Downloads,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI.zip,Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI.zip,C:\Users\ASUS\Downloads
perjanjian kredivo 2025,.pdf,2025-06-19 13:51:26.779267,222.09,0.0002,Downloads,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\KREDIVO\perjanjian kredivo 2025.pdf,Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\KREDIVO\perjanjian kredivo 2025.pdf,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\KREDIVO
IMG-20250619-WA0079,.jpg,2025-06-19 13:51:26.601547,221.31,0.0002,Downloads,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI\IMG-20250619-WA0079.jpg,Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI\IMG-20250619-WA0079.jpg,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI
IMG-20250619-WA0078,.jpg,2025-06-19 13:51:26.601123,223.09,0.0002,Downloads,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI\IMG-20250619-WA0078.jpg,Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI\IMG-20250619-WA0078.jpg,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI
IMG-20250619-WA0076,.jpg,2025-06-19 13:51:26.407839,232.98,0.0002,Downloads,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI\IMG-20250619-WA0076.jpg,Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI\IMG-20250619-WA0076.jpg,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI
IMG-20250619-WA0077,.jpg,2025-06-19 13:51:26.407839,238.06,0.0002,Downloads,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI\IMG-20250619-WA0077.jpg,Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI\IMG-20250619-WA0077.jpg,C:\Users\ASUS\Downloads\PERJANJIAN PINJAMAN FAJRI\ADAPUNDI
